Plant Name,Growth,Soil,Sunlight,Watering,Fertilization Type
Chrysanthemum,fast,well-drained,full sunlight,Water when soil feels dry,Balanced
Daffodil,slow,well-drained,full sunlight,Water weekly,Balanced
Sunflower,fast,well-drained,full sunlight,Water weekly,Balanced
Tulip,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Peony,slow,well-drained,full sunlight,Water weekly,Balanced
Jasmine,moderate,loamy,full sunlight,Water weekly,Organic
Ivy,moderate,well-drained,indirect sunlight,Keep soil slightly moist,Balanced
Nasturtium,fast,well-drained,full sunlight,Water weekly,Organic
Petunia,fast,well-drained,full sunlight,Water weekly,Balanced
Carnation,moderate,well-drained,full sunlight,Water when soil is dry,Low-nitrogen
Snapdragon,fast,well-drained,full sunlight,Water weekly,Balanced
Pansy,moderate,well-drained,partial sunlight,Keep soil evenly moist,Organic
Sweet Pea,fast,loamy,full sunlight,Water weekly,Balanced
Morning Glory,fast,well-drained,full sunlight,Water weekly,Balanced
Verbena,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Gerbera Daisy,moderate,well-drained,full sunlight,Water weekly,Balanced
Anemone,moderate,well-drained,partial sunlight,Keep soil evenly moist,Organic
Hyacinth,moderate,loamy,full sunlight,Water weekly,Low-nitrogen
Crocus,slow,well-drained,full sunlight,Water weekly,Balanced
Dandelion,fast,well-drained,full sunlight,Water weekly,Organic
Foxglove,moderate,well-drained,partial sunlight,Water weekly,Balanced
Bluebell,moderate,well-drained,partial sunlight,Keep soil slightly moist,Organic
Camellia,slow,acidic,partial sunlight,Water weekly,Acidic
Poppy,moderate,well-drained,full sunlight,Water when soil is dry,Low-nitrogen
Nasturtium,fast,well-drained,full sunlight,Water weekly,Organic
Magnolia,slow,acidic,full sunlight,Water when soil is dry,Acidic
Bougainvillea,moderate,acidic,full sunlight,Let soil dry between watering,Low-nitrogen
Holly,slow,acidic,partial sunlight,Water weekly,Acidic
Gardenia,slow,acidic,indirect sunlight,Water weekly,Acidic
Azalea,moderate,acidic,partial sunlight,Keep soil moist,Acidic
Clivia,moderate,well-drained,indirect sunlight,Water weekly,Balanced
Tulsi (Holy Basil),fast,well-drained,full sunlight,Keep soil moist,Balanced
Chrysanthemum,moderate,well-drained,full sunlight,Water when soil feels dry,Balanced
Canna Lily,fast,well-drained,full sunlight,Water weekly,Balanced
Dahlia,moderate,well-drained,full sunlight,Water weekly,Balanced
Daisy,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Eucalyptus,slow,sandy,full sunlight,Water when soil feels dry,Low-nitrogen
Lotus,moderate,loamy,full sunlight,Keep soil consistently moist,Balanced
Bamboo,moderate,acidic,partial sunlight,Keep soil moist,Acidic
Orchid Cactus,slow,sandy,indirect sunlight,Water weekly,Low-nitrogen
Bromeliad,moderate,well-drained,indirect sunlight,Water weekly,Balanced
Succulent,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Iris,moderate,well-drained,full sunlight,Water weekly,Balanced
Lotus Bamboo,slow,well-drained,indirect sunlight,Water weekly,Organic
Hosta,moderate,well-drained,partial sunlight,Water weekly,Balanced
Echeveria,slow,sandy,indirect sunlight,Water when soil is dry,Low-nitrogen
Catmint,moderate,well-drained,full sunlight,Water weekly,Balanced
Coneflower,moderate,sandy,full sunlight,Water weekly,Balanced
Lamb's Ear,moderate,sandy,full sunlight,Water weekly,Balanced
Petunia,fast,well-drained,full sunlight,Water when soil feels dry,Balanced
Snapdragon,moderate,sandy,full sunlight,Water weekly,Balanced
Alyssum,fast,sandy,full sunlight,Water weekly,Organic
Pansy,moderate,well-drained,partial sunlight,Keep soil moist,Balanced
Fuchsia,slow,well-drained,indirect sunlight,Water weekly,Organic
Impatiens,moderate,well-drained,indirect sunlight,Keep soil moist,Organic
Nasturtium,fast,sandy,full sunlight,Water weekly,Organic
Begonia,moderate,well-drained,indirect sunlight,Keep soil evenly moist,Balanced
Dianthus,moderate,sandy,full sunlight,Water weekly,Balanced
Verbena,fast,well-drained,full sunlight,Water weekly,Balanced
Phlox,moderate,well-drained,full sunlight,Water when soil is dry,Balanced
Lobelia,fast,well-drained,indirect sunlight,Water weekly,Low-nitrogen
Geranium,moderate,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Salvia,moderate,sandy,full sunlight,Water weekly,Balanced
Zinnia,fast,sandy,full sunlight,Water weekly,Low-nitrogen
Morning Glory,fast,sandy,full sunlight,Water when soil is dry,Balanced
Hollyhock,moderate,well-drained,full sunlight,Water weekly,Balanced
Aster,moderate,well-drained,full sunlight,Water weekly,Low-nitrogen
Sunflower,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Black-eyed Susan,moderate,sandy,full sunlight,Water weekly,Balanced
Dahlia,moderate,well-drained,full sunlight,Water weekly,Low-nitrogen
Marigold,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Sweet Pea,moderate,well-drained,full sunlight,Water weekly,Balanced
Calendula,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Candytuft,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Larkspur,moderate,well-drained,partial sunlight,Water weekly,Balanced
Shasta Daisy,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Periwinkle,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Coral Bells,moderate,well-drained,partial sunlight,Water weekly,Low-nitrogen
Bleeding Heart,slow,well-drained,partial sunlight,Keep soil moist,Organic
Sweet Alyssum,fast,sandy,full sunlight,Water weekly,Low-nitrogen
Balloon Flower,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Japanese Anemone,moderate,well-drained,partial sunlight,Water weekly,Balanced
Veronica,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Sedum,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Helenium,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Astilbe,moderate,well-drained,partial sunlight,Keep soil moist,Organic
Coreopsis,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Columbine,moderate,well-drained,partial sunlight,Water weekly,Balanced
Globe Thistle,moderate,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Lupine,moderate,sandy,full sunlight,Water weekly,Balanced
Blanket Flower,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Toad Lily,slow,well-drained,partial sunlight,Keep soil moist,Organic
Russian Sage,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Bee Balm,moderate,well-drained,partial sunlight,Keep soil moist,Organic
Speedwell,moderate,sandy,full sunlight,Water weekly,Low-nitrogen
Catnip,fast,sandy,full sunlight,Water when topsoil is dry,Balanced
Lavender,slow,sandy,full sunlight,Water when soil is dry,Organic
Rosemary,slow,sandy,full sunlight,Water when soil is dry,Organic
Thyme,slow,sandy,full sunlight,Water when soil is dry,Organic
Sage,slow,sandy,full sunlight,Water weekly,Organic
Parsley,moderate,well-drained,partial sunlight,Keep soil evenly moist,Organic
Cilantro,fast,well-drained,full sunlight,Keep soil moist,Organic
Dill,moderate,sandy,full sunlight,Water weekly,Organic
Chives,fast,well-drained,full sunlight,Keep soil evenly moist,Organic
Oregano,slow,sandy,full sunlight,Water when soil is dry,Organic
Tarragon,slow,sandy,full sunlight,Water weekly,Organic
Bay Laurel,slow,sandy,partial sunlight,Water weekly,Organic
Lemon Balm,moderate,well-drained,partial sunlight,Water weekly,Organic
Fennel,moderate,sandy,full sunlight,Water weekly,Organic
Chamomile,moderate,sandy,full sunlight,Water weekly,Organic
Tarragon,moderate,sandy,full sunlight,Water weekly,Organic
Lemongrass,fast,well-drained,full sunlight,Water weekly,Organic
Stevia,slow,well-drained,partial sunlight,Water weekly,Organic
Marjoram,moderate,sandy,full sunlight,Water when soil is dry,No
Spider Plant,fast,well-drained,indirect sunlight,Water weekly,No
Peace Lily,moderate,well-drained,indirect sunlight,Keep soil moist,No
Rubber Plant,slow,sandy,indirect sunlight,Water weekly,No
ZZ Plant,slow,sandy,indirect sunlight,Let soil dry between watering,No
Pothos,fast,well-drained,indirect sunlight,Water weekly,No
Philodendron,moderate,well-drained,indirect sunlight,Water weekly,No
Monstera,moderate,well-drained,indirect sunlight,Water weekly,No
Calathea,moderate,well-drained,indirect sunlight,Keep soil moist,No
Fern (Boston Fern),moderate,well-drained,indirect sunlight,Keep soil moist,No
Croton,slow,well-drained,indirect sunlight,Water weekly,No
Dieffenbachia,slow,well-drained,indirect sunlight,Water weekly,No
Dracaena,slow,sandy,indirect sunlight,Let soil dry between watering,No
Bamboo Palm,moderate,well-drained,indirect sunlight,Water weekly,No
Areca Palm,slow,well-drained,indirect sunlight,Water weekly,No
Majesty Palm,slow,well-drained,indirect sunlight,Water weekly,No
Bird of Paradise,moderate,well-drained,indirect sunlight,Water weekly,No
Orchids,moderate,well-drained,indirect sunlight,Water weekly,No
Anthurium,moderate,well-drained,indirect sunlight,Keep soil moist,No
Jade Plant,slow,sandy,indirect sunlight,Let soil dry between watering,No
Chinese Evergreen,slow,well-drained,indirect sunlight,Water weekly,Organic
Peperomia,slow,well-drained,indirect sunlight,Water weekly,Balanced
Ficus Tree,slow,well-drained,indirect sunlight,Water weekly,Low-nitrogen
Succulents (General),slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Echeveria,slow,sandy,full sunlight,Water when soil is dry,Balanced
Haworthia,slow,sandy,indirect sunlight,Water when topsoil is dry,Low-nitrogen
String of Pearls,slow,sandy,indirect sunlight,Water when soil is dry,Low-nitrogen
Jade Pothos,moderate,well-drained,indirect sunlight,Keep soil moist,Organic
Swedish Ivy,fast,well-drained,indirect sunlight,Water weekly,Balanced
Wandering Jew,fast,well-drained,indirect sunlight,Water weekly,Balanced
Hoya (Wax Plant),slow,sandy,indirect sunlight,Water when topsoil is dry,Balanced
African Violet,moderate,well-drained,indirect sunlight,Keep soil moist,Organic
Begonia,moderate,well-drained,indirect sunlight,Water weekly,Balanced
Impatiens,fast,well-drained,indirect sunlight,Keep soil moist,Balanced
Petunia,fast,sandy,full sunlight,Regular watering,Organic
Marigold,moderate,sandy,full sunlight,Water weekly,Organic
Lobelia,moderate,sandy,full sunlight,Keep soil moist,Balanced
Snapdragon,moderate,sandy,full sunlight,Water weekly,Organic
Zinnia,fast,sandy,full sunlight,Regular Watering,Low-nitrogen
Nasturtium,moderate,sandy,full sunlight,Water weekly,Balanced
Sunflower,fast,sandy,full sunlight,Regular Watering,Balanced
Dahlia,moderate,sandy,full sunlight,Keep soil moist,Organic
Begonia (Outdoor),moderate,well-drained,full sunlight,Water weekly,Organic
Calendula,fast,sandy,full sunlight,Water weekly,Balanced
Coneflower,moderate,sandy,full sunlight,Water weekly,Balanced
Petunia (Trailing),fast,sandy,full sunlight,Regular Watering,Organic
Pansy,moderate,well-drained,full sunlight,Keep soil moist,Organic
Geranium,moderate,well-drained,full sunlight,Water when soil is dry,Balanced
Fuchsia,moderate,well-drained,partial sunlight,Regular Watering,Balanced
Sweet Pea,fast,sandy,full sunlight,Regular Watering,Organic
Begonia (Indoor),moderate,well-drained,indirect sunlight,Water weekly,Balanced
Lobelia,fast,sandy,full sunlight,Keep soil moist,Organic
Chrysanthemum,moderate,well-drained,full sunlight,Regular Watering,Organic
Clematis,slow,sandy,full sunlight,Regular Watering,Organic
Dianthus,moderate,sandy,full sunlight,Water when soil is dry,Balanced
Bluebell,slow,well-drained,full sunlight,Regular Watering,Balanced
Ageratum,fast,well-drained,full sunlight,Regular Watering,Organic
Calla Lily,moderate,sandy,partial sunlight,Keep soil moist,Organic
Cineraria,moderate,well-drained,indirect sunlight,Keep soil moist,Organic
Heliotrope,moderate,well-drained,full sunlight,Regular Watering,Organic
Tuberose,slow,sandy,full sunlight,Regular Watering,Organic
Gazania,fast,sandy,full sunlight,Water when soil is dry,Organic
Portulaca,fast,sandy,full sunlight,Water when soil is dry,Balanced
Coleus,moderate,well-drained,indirect sunlight,Regular Watering,Low-nitrogen
Dusty Miller,moderate,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Dianella,slow,sandy,full sunlight,Water weekly,Organic
Lantana,fast,sandy,full sunlight,Water when soil is dry,Organic
Salvia,moderate,sandy,full sunlight,Regular Watering,Organic
Phlox,moderate,well-drained,full sunlight,Regular Watering,Organic
Poppy,fast,sandy,full sunlight,Water when soil is dry,Organic
Amaryllis,moderate,sandy,full sunlight,Keep soil moist,Low-nitrogen
Morning Glory,fast,sandy,full sunlight,Water when soil is dry,Organic
Yucca,slow,sandy,full sunlight,Water when topsoil is dry,Organic
Acalypha,moderate,sandy,full sunlight,Regular Watering,Organic
Viola,moderate,well-drained,full sunlight,Keep soil moist,Organic
Jasmine (Outdoor),moderate,well-drained,full sunlight,Regular Watering,Balanced
Sweet William,fast,sandy,full sunlight,Water when soil is dry,Organic
Foxglove,slow,sandy,partial sunlight,Keep soil moist,Organic
Snapdragon,moderate,well-drained,full sunlight,Regular Watering,Organic
Hollyhock,moderate,sandy,full sunlight,Regular Watering,Organic
Campanula,moderate,sandy,partial sunlight,Keep soil moist,Balanced
Cosmos,fast,sandy,full sunlight,Water weekly,Balanced
Coreopsis,fast,sandy,full sunlight,Water when soil is dry,Organic
Black-Eyed Susan,moderate,sandy,full sunlight,Water weekly,Organic
Bachelorâ€™s Button,fast,sandy,full sunlight,Water when soil is dry,Balanced
Balloon Flower,moderate,sandy,partial sunlight,Regular Watering,Balanced
Columbine,moderate,sandy,partial sunlight,Water weekly,Organic
Bleeding Heart,slow,well-drained,partial sunlight,Keep soil moist,Organic
Sea Holly,slow,sandy,full sunlight,Water when soil is dry,Balanced
Bellflower,moderate,sandy,partial sunlight,Keep soil moist,Organic
Daylily,fast,sandy,full sunlight,Regular Watering,Low-nitrogen
Yarrow,moderate,sandy,full sunlight,Water when soil is dry,Balanced
Aster,moderate,well-drained,full sunlight,Regular Watering,Organic
Feverfew,moderate,sandy,full sunlight,Water weekly,Balanced
Rudbeckia,moderate,sandy,full sunlight,Water weekly,Organic
Shasta Daisy,moderate,sandy,full sunlight,Regular Watering,Organic
Echinacea,slow,sandy,full sunlight,Water weekly,Organic
Periwinkle,fast,well-drained,partial sunlight,Regular Watering,Organic
Calendula,fast,well-drained,full sunlight,Water weekly,Balanced
Marigold,fast,sandy,full sunlight,Water when soil is dry,Organic
Candytuft,moderate,sandy,full sunlight,Regular Watering,Low-nitrogen
Blanket Flower,moderate,sandy,full sunlight,Water when soil is dry,Organic
Alyssum,fast,well-drained,full sunlight,Water weekly,Organic
Sweet Alyssum,moderate,sandy,full sunlight,Keep soil moist,Balanced
Hosta,slow,well-drained,partial sunlight,Keep soil moist,Low-nitrogen
Ice Plant,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Sedum,slow,sandy,full sunlight,Water when soil is dry,Organic
Neem Tree,fast,sandy,full sunlight,Let soil dry between watering,Organic
Peepal Tree (Bodhi Tree),moderate,loamy,partial sunlight,"Regular, well-drained soil",Organic
Banyan Tree (Bargad),slow,well-drained,full sunlight,"Regular, well-drained soil",Low-nitrogen
Kikar Tree (Acacia),moderate,sandy,full sunlight,Let soil dry between watering,Organic
Sheesham Tree,fast,loamy,full sunlight,Let soil dry between watering,Organic
Gul Mohar (Flame Tree),moderate,sandy,full sunlight,"Regular, moist soil",Organic
Amaltas (Golden Shower),moderate,sandy,full sunlight,Water when soil is dry,Low-nitrogen
Date Palm (Khajoor),moderate,sandy,full sunlight,Water when soil is dry,Organic
Eucalyptus,fast,sandy,full sunlight,Water when soil feels dry,Organic
Ber Tree (Indian Jujube),moderate,sandy,full sunlight,Water when soil feels dry,Organic
Ageratum,fast,loamy,partial sunlight,"Regular, moist soil",Balanced
Beggonia (Outdoor),moderate,well-drained,full sunlight,"Regular, moist soil",Organic
Cineraria,moderate,well-drained,partial sunlight,"Regular, moist soil",Balanced
Gazania,fast,sandy,full sunlight,Water when soil feels dry,Balanced
Heliotrope,moderate,loamy,partial sunlight,Let soil dry between watering,Balanced
Poppy,moderate,sandy,full sunlight,"Regular, well-drained soil",Low-nitrogen
Tuberose,moderate,well-drained,full sunlight,"Regular, moist soil",Organic
Viola,moderate,well-drained,partial sunlight,"Regular, moist soil",Balanced
Amaryllis,fast,loamy,full sunlight,Water when soil is dry,Balanced
Salvia,fast,sandy,full sunlight,"Regular, well-drained soil",Organic
Camellia,moderate,acidic,full sunlight,"Regular, moist soil",Balanced
Bromeliad,moderate,well-drained,indirect sunlight,Water when soil is dry,Organic
Chrysanthemum (Outdoor),fast,loamy,full sunlight,"Regular, moist soil",Balanced
Coleus,moderate,acidic,full sunlight,"Regular, moist soil",Organic
Tarragon,moderate,sandy,full sunlight,Water when topsoil is dry,Balanced
Fuchsia,moderate,acidic,partial sunlight,"Regular, moist soil",Organic
Japanese Maple,slow,acidic,partial sunlight,Keep soil consistently moist,Balanced
Echinacea,fast,loamy,full sunlight,Keep soil consistently moist,Balanced
Euphorbia,fast,sandy,full sunlight,Water when soil is dry,Organic
Phlox,moderate,well-drained,full sunlight,"Regular, well-drained soil",Balanced
Zinnia,fast,acidic,full sunlight,"Regular, well-drained soil",Organic
Alyssum,moderate,well-drained,partial sunlight,"Regular, moist soil",Organic
Hibiscus,fast,loamy,full sunlight,"Regular, well-drained soil",Balanced
Clematis,moderate,well-drained,partial sunlight,"Regular, well-drained soil",Balanced
Pansy,moderate,well-drained,full sunlight,"Regular, moist soil",Balanced
Pineapple Sage,fast,loamy,full sunlight,"Regular, moist soil",Balanced
Cucumbers,fast,well-drained,full sunlight,"Regular, moist soil",Organic
Maranta (Prayer Plant),moderate,loamy,partial sunlight,"Regular, moist soil",Balanced
African Violet,moderate,acidic,indirect sunlight,Water when soil is dry,Balanced
Kalanchoe,moderate,sandy,full sunlight,Let soil dry between watering,Balanced
Pilea,moderate,loamy,indirect sunlight,Water when topsoil is dry,Balanced
Lobelia,fast,well-drained,partial sunlight,"Regular, moist soil",Organic
Hosta,moderate,well-drained,indirect sunlight,"Regular, moist soil",Balanced
Pothos (Golden Pathos),fast,loamy,indirect sunlight,Water when topsoil is dry,Balanced
Dracaena,moderate,acidic,partial sunlight,Let soil dry between watering,Balanced
Areca Palm,slow,loamy,indirect sunlight,"Regular, moist soil",Organic
Calla Lily,moderate,well-drained,full sunlight,"Regular, moist soil",Organic
Basil,fast,loamy,full sunlight,"Regular, moist soil",Balanced
Ficus Benjamina,moderate,well-drained,indirect sunlight,Water when soil is dry,Balanced
Dahlia,fast,loamy,full sunlight,"Regular, well-drained soil",Organic
Mimosa,fast,loamy,full sunlight,"Regular, moist soil",No
Lavender (English),moderate,sandy,full sunlight,Let soil dry between watering,Balanced
Petunia,fast,well-drained,full sunlight,"Regular, moist soil",Balanced
Zucchini,fast,well-drained,full sunlight,"Regular, moist soil",Balanced
Chili Pepper,fast,loamy,full sunlight,"Regular, moist soil",Organic
Radish,fast,well-drained,full sunlight,"Regular, moist soil",Organic
Sunflower,fast,well-drained,full sunlight,Regular watering,Balanced
Grape Vine,moderate,acidic,full sunlight,"Regular, well-drained soil",Balanced
Cherry Blossom,slow,well-drained,full sunlight,"Regular, moist soil",Organic
Begonia,moderate,well-drained,indirect sunlight,"Regular, moist soil",Organic
Peony,moderate,loamy,full sunlight,"Regular, well-drained soil",Balanced
Marigold,fast,sandy,full sunlight,"Regular, well-drained soil",Balanced
Coleus,moderate,loamy,partial sunlight,"Regular, moist soil",Organic
Jasmine,moderate,loamy,full sunlight,"Regular, moist soil",Organic
Gardenia,moderate,acidic,indirect sunlight,"Regular, moist soil",No
Pine,slow,sandy,full sunlight,Water when soil feels dry,Balanced
Lily of the Valley,slow,acidic,partial sunlight,"Regular, moist soil",Low-nitrogen
Hops,fast,well-drained,full sunlight,"Regular, moist soil",Balanced
Cabbage,fast,well-drained,full sunlight,"Regular, moist soil",Balanced
Tomato,fast,well-drained,full sunlight,Regular Watering,Organic
Bergamot,moderate,loamy,partial sunlight,"Regular, moist soil",Balanced
Crocus,slow,sandy,full sunlight,"Regular, moist soil",Balanced
Wisteria,slow,well-drained,full sunlight,"Regular, moist soil",Balanced
Cilantro,fast,loamy,full sunlight,"Regular, moist soil",Balanced
Strawberry,moderate,sandy,full sunlight,"Regular, well-drained soil",Organic
Sage,fast,sandy,full sunlight,"Regular, moist soil",Balanced
Dandelion,fast,well-drained,full sunlight,"Regular, moist soil",Balanced
Lobelia,fast,well-drained,partial sunlight,"Regular, moist soil",Balanced
Chrysanthemum,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Poppy,moderate,sandy,full sunlight,"Regular, well-drained soil",Balanced
Snapdragon,fast,well-drained,full sunlight,"Regular, well-drained soil",Organic
Borage,fast,well-drained,full sunlight,"Regular, moist soil",Organic
Lemon Balm,moderate,loamy,full sunlight,"Regular, well-drained soil",Organic
Sweet Pea,moderate,well-drained,full sunlight,"Regular, well-drained soil",Organic
Raspberry,moderate,acidic,full sunlight,"Regular, well-drained soil",Organic
Hibiscus,fast,loamy,full sunlight,"Regular, moist soil",Organic
Fennel,fast,well-drained,full sunlight,"Regular, moist soil",Balanced
Cornflower,moderate,well-drained,full sunlight,"Regular, moist soil",Balanced
Pineapple,slow,sandy,full sunlight,Water weekly,Organic
Lavender (French),moderate,sandy,full sunlight,Let soil dry between watering,Balanced
Acorn Squash,moderate,loamy,full sunlight,Regular watering,Balanced
Apple Tree,slow,sandy,full sunlight,Water weekly,Balanced
Bamboo Orchid,moderate,well-drained,indirect sunlight,Keep soil moist,Organic
Balsam,fast,moist,full sunlight,Regular watering,Organic
Banana Plant,fast,moist,full sunlight,Water weekly,Balanced
Beetroot,moderate,sandy,full sunlight,Regular watering,Organic
Bellflower,moderate,well-drained,full sunlight,Regular watering,Balanced
Blackcurrant,moderate,acidic,full sunlight,Keep soil moist,Organic
Bok Choy,fast,loamy,full sunlight,Regular watering,Organic
Brassica,moderate,moist,full sunlight,Regular watering,Low-nitrogen
Butternut Squash,moderate,sandy,full sunlight,Regular watering,Organic
Cabbage,moderate,moist,full sunlight,Regular watering,Balanced
Calendula,fast,well-drained,full sunlight,Water when topsoil is dry,Organic
Camellia,slow,acidic,partial sunlight,Keep soil moist,Organic
Carrot,moderate,sandy,full sunlight,Regular watering,Organic
Catmint,moderate,well-drained,full sunlight,Regular watering,Balanced
Chayote,fast,well-drained,full sunlight,Regular watering,Balanced
Cherry Blossom,slow,well-drained,full sunlight,Keep soil moist,Organic
Chestnut,slow,well-drained,full sunlight,Regular watering,Organic
Clementine,moderate,loamy,full sunlight,Regular watering,Organic
Clove,slow,sandy,full sunlight,Keep soil consistently moist,Organic
Cocoa Tree,moderate,moist,full sunlight,Regular watering,Low-nitrogen
Corn,fast,loamy,full sunlight,Regular watering,Balanced
Cucumber,fast,sandy,full sunlight,Keep soil consistently moist,Organic
Currant,moderate,acidic,full sunlight,Keep soil consistently moist,Organic
Dandelion,fast,loamy,full sunlight,Regular watering,Low-nitrogen
Date Palm,slow,sandy,full sunlight,Water when soil is dry,Organic
Dragon Fruit,fast,sandy,full sunlight,Regular watering,Balanced
Eggplant,moderate,loamy,full sunlight,Regular watering,Organic
Elderberry,fast,moist,full sunlight,Regular watering,Organic
Fennel,fast,loamy,full sunlight,Regular watering,Low-nitrogen
Fig Tree,moderate,sandy,full sunlight,Regular watering,Balanced
Grape Vine,moderate,loamy,full sunlight,Regular watering,Balanced
Green Bean,fast,well-drained,full sunlight,Regular watering,Balanced
Hops,fast,loamy,full sunlight,Keep soil moist,Balanced
Jackfruit,moderate,well-drained,full sunlight,Regular watering,Organic
Jasmine (Indoor),moderate,well-drained,indirect sunlight,Keep soil moist,Low-nitrogen
Jatropha,moderate,sandy,full sunlight,Regular watering,Organic
Kiwi,fast,loamy,full sunlight,Keep soil moist,Organic
Lady's Mantle,moderate,loamy,partial sunlight,Keep soil moist,Organic
Lemon Tree,slow,sandy,full sunlight,Regular watering,Organic
Litchi,moderate,well-drained,full sunlight,Regular watering,Organic
Lychee,moderate,well-drained,full sunlight,Regular watering,Organic
Mallow,fast,loamy,full sunlight,Regular watering,Organic
Mango,moderate,sandy,full sunlight,Regular watering,Organic
Moringa,fast,sandy,full sunlight,Regular watering,Organic
Mulberry,moderate,well-drained,full sunlight,Regular watering,Organic
Mustard,fast,loamy,full sunlight,Regular watering,Balanced
Nectarine,slow,loamy,full sunlight,Regular watering,Organic
Olive Tree,moderate,sandy,full sunlight,Water when soil is dry,Balanced
Acacia,fast,sandy,full sunlight,Let soil dry between watering,Organic
Acanthus,moderate,loamy,partial sunlight,"Regular, moist soil",Organic
Alstroemeria,slow,loamy,partial sunlight,Water when topsoil is dry,Balanced
Amaranth,fast,loamy,full sunlight,"Regular, moist soil",Organic
Anigozanthos (Kangaroo Paw),moderate,sandy,full sunlight,Let soil dry between watering,Balanced
Anthurium,slow,moist,indirect sunlight,"Regular, moist soil",Organic
Aquilegia (Columbine),moderate,loamy,partial sunlight,Let soil dry between watering,Organic
Arum Lily,moderate,moist,partial sunlight,"Regular, moist soil",Balanced
Aztec Lily,slow,sandy,partial sunlight,Let soil dry between watering,Organic
Balsam,fast,loamy,partial sunlight,"Regular, moist soil",Low-nitrogen
Barberry,moderate,sandy,full sunlight,"Regular, well-drained soil",Balanced
Bellflower,moderate,loamy,partial sunlight,"Regular, moist soil",Low-nitrogen
Bougainvillea,fast,sandy,full sunlight,Let soil dry between watering,Organic
Brachychiton (Bottle Tree),slow,well-drained,full sunlight,"Regular, moist soil",Balanced
Brassica,fast,loamy,full sunlight,"Regular, moist soil",Balanced
Calla Lily,moderate,moist,partial sunlight,"Regular, moist soil",Organic
